Release,Calendar Gross,Max Theaters,Total Gross,Release Date,Distributor,URL,Budget,Genres,MPAA,IMDB_ID,Rating,Votes
Fantastic Four,"$154,696,080","3,619","$154,696,080",Jul 8,"Twentieth Century Fox

",https://www.boxofficemojo.com/release/rl3662710273/,100000000,Action Adventure Fantasy Sci-Fi,PG-13,tt0120667,5.7,308660
Meet the Fockers,"$146,401,395","3,554","$279,261,160",Dec 22,"Universal Pictures

",https://www.boxofficemojo.com/release/rl862094849/,80000000,Comedy Romance,PG-13,tt0290002,6.3,249741
Chicken Little,"$131,744,998","3,658","$135,386,665",Nov 4,"Walt Disney Studios Motion Pictures

",https://www.boxofficemojo.com/release/rl1615562241/,150000000,Adventure Animation Comedy Family Fantasy Sci-Fi,G,tt0371606,5.7,84507
Robots,"$128,200,012","3,776","$128,200,012",Mar 11,"Twentieth Century Fox

",https://www.boxofficemojo.com/release/rl1231848961/,75000000,Adventure Animation Comedy Family Sci-Fi,PG,tt0358082,6.3,130609
The Pacifier,"$113,086,868","3,181","$113,086,868",Mar 4,"Walt Disney Studios Motion Pictures

",https://www.boxofficemojo.com/release/rl1416201729/,56000000,Action Comedy Drama Family,PG,tt0395699,5.6,86500
The 40-Year-Old Virgin,"$109,449,237","3,006","$109,449,237",Aug 19,"Universal Pictures

",https://www.boxofficemojo.com/release/rl4165043713/,26000000,Comedy Romance,R,tt0405422,7.1,389290
Million Dollar Baby,"$99,649,950","2,375","$100,492,203",Dec 15,"Warner Bros.

",https://www.boxofficemojo.com/release/rl2288158209/,30000000,Drama Sport,PG-13,tt0405159,8.1,625698
Walk the Line,"$90,851,004","3,160","$119,519,402",Nov 18,"Twentieth Century Fox

",https://www.boxofficemojo.com/release/rl3665397249/,28000000,Biography Drama Music Romance,PG-13,tt0358273,7.8,230282
Saw II,"$86,996,234","2,949","$87,039,965",Oct 28,"Lionsgate

",https://www.boxofficemojo.com/release/rl2322564609/,4000000,Horror Mystery,R,tt0432348,6.6,229681
Monster-in-Law,"$82,931,695","3,424","$82,931,301",May 13,"New Line Cinema

",https://www.boxofficemojo.com/release/rl1885701633/,43000000,Comedy Romance,PG-13,tt0369735,5.6,55678
Are We There Yet?,"$82,674,398","2,810","$82,674,398",Jan 21,"Revolution Studios

",https://www.boxofficemojo.com/release/rl1145210369/,32000000,Adventure Comedy Family Fantasy Romance,PG,tt0368578,4.7,28949
The Dukes of Hazzard,"$80,270,227","3,785","$80,270,227",Aug 5,"Warner Bros.

",https://www.boxofficemojo.com/release/rl3947791873/,50000000,Comedy,PG-13,tt0377818,5.1,74955
The Aviator,"$78,521,054","2,530","$102,610,330",Dec 17,"Miramax

",https://www.boxofficemojo.com/release/rl742753793/,110000000,Biography Drama,PG-13,tt0338751,7.5,328106
Constantine,"$75,934,974","3,006","$75,976,178",Feb 18,"Warner Bros.

",https://www.boxofficemojo.com/release/rl3511322113/,100000000,Action Fantasy Horror Mystery,R,tt0360486,7.0,300779
The Exorcism of Emily Rose,"$75,072,454","3,045","$75,072,454",Sep 9,"Screen Gems

",https://www.boxofficemojo.com/release/rl1548781057/,19000000,Drama Horror Thriller,PG-13,tt0404032,6.7,117573
Four Brothers,"$74,494,381","2,649","$74,494,381",Aug 12,"Paramount Pictures

",https://www.boxofficemojo.com/release/rl2941421057/,45000000,Action Crime Drama Mystery Thriller,R,tt0430105,6.8,132730
Sin City,"$74,102,841","3,230","$74,103,820",Apr 1,"Dimension Films

",https://www.boxofficemojo.com/release/rl3027338753/,40000000,Crime Thriller,R,tt0401792,8.0,734113
The Interpreter,"$72,708,161","2,814","$72,708,161",Apr 22,"Universal Pictures

",https://www.boxofficemojo.com/release/rl693798401/,80000000,Crime Mystery Thriller,PG-13,tt0373926,6.4,96426
Sahara,"$68,671,925","3,200","$68,671,925",Apr 8,"Paramount Pictures

",https://www.boxofficemojo.com/release/rl2121238017/,130000000,Action Adventure Comedy,PG-13,tt0318649,6.0,91019
Coach Carter,"$67,264,877","2,574","$67,264,877",Jan 14,"Paramount Pictures

",https://www.boxofficemojo.com/release/rl2118813185/,30000000,Biography Drama Sport,PG-13,tt0393162,7.3,124555
Herbie Fully Loaded,"$66,023,816","3,521","$66,023,816",Jun 22,"Walt Disney Studios Motion Pictures

",https://www.boxofficemojo.com/release/rl358188545/,50000000,Adventure Comedy Family Fantasy Romance Sport,,tt0400497,4.8,44543
The Amityville Horror,"$65,233,369","3,323","$65,233,369",Apr 15,"Metro-Goldwyn-Mayer (MGM)

",https://www.boxofficemojo.com/release/rl2185463297/,19000000,Horror,R,tt0384806,6.0,103918
Sky High,"$63,946,815","2,912","$63,946,815",Jul 29,"Walt Disney Studios Motion Pictures

",https://www.boxofficemojo.com/release/rl4017194497/,35000000,Adventure Comedy Family Sci-Fi,PG,tt0405325,6.2,77620
Bewitched,"$63,313,159","3,188","$63,313,159",Jun 24,"Sony Pictures Entertainment (SPE)

",https://www.boxofficemojo.com/release/rl3510928897/,85000000,Comedy Fantasy Romance,PG-13,tt0057733,7.5,16450
Jarhead,"$62,422,775","2,448","$62,658,220",Nov 4,"Universal Pictures

",https://www.boxofficemojo.com/release/rl3646588417/,72000000,Action Biography Drama War,R,tt0418763,7.0,173591
Cinderella Man,"$61,649,911","2,820","$61,649,911",Jun 3,"Universal Pictures

",https://www.boxofficemojo.com/release/rl4182476289/,88000000,Biography Drama History Romance Sport,PG-13,tt0352248,8.0,173907
Red Eye,"$57,891,803","3,134","$57,891,803",Aug 19,"DreamWorks Distribution

",https://www.boxofficemojo.com/release/rl1869448705/,26000000,Thriller,PG-13,tt0421239,6.4,111627
Be Cool,"$56,046,979","3,216","$56,046,979",Mar 4,"Metro-Goldwyn-Mayer (MGM)

",https://www.boxofficemojo.com/release/rl2101642753/,53000000,Comedy Crime Music,PG-13,tt0377471,5.6,66702
Wallace & Gromit: The Curse of the Were-Rabbit,"$55,969,163","3,656","$56,110,897",Oct 5,"DreamWorks Distribution

",https://www.boxofficemojo.com/release/rl3782837761/,30000000,Adventure Animation Comedy Family Fantasy Horror Mystery Sci-Fi,,tt0312004,7.4,123551
Fun with Dick and Jane,"$54,062,538","3,239","$110,332,737",Dec 21,"Sony Pictures Entertainment (SPE)

",https://www.boxofficemojo.com/release/rl1985316353/,100000000,Comedy Crime,PG-13,tt0369441,6.2,132949
Crash,"$53,404,817","1,905","$54,580,300",May 6,"Lionsgate

",https://www.boxofficemojo.com/release/rl1817019905/,6500000,Crime Drama Thriller,R,tt0375679,7.7,415895
Kicking & Screaming,"$52,842,724","3,470","$52,842,724",May 13,"Universal Pictures

",https://www.boxofficemojo.com/release/rl140281345/,45000000,Comedy Family Romance Sport,PG,tt0384642,5.6,35715
The Hitchhiker's Guide to the Galaxy,"$51,085,416","3,133","$51,085,416",Apr 29,"Walt Disney Studios Motion Pictures

",https://www.boxofficemojo.com/release/rl2656667137/,50000000,Adventure Comedy Sci-Fi,PG,tt0371724,6.8,184761
Sideways,"$50,635,185","1,786","$71,503,593",Oct 22,"Fox Searchlight Pictures

",https://www.boxofficemojo.com/release/rl1785824769/,16000000,Comedy Drama Romance,R,tt0375063,7.5,177470
Diary of a Mad Black Woman,"$50,633,099","1,703","$50,633,099",Feb 25,"Lionsgate

",https://www.boxofficemojo.com/release/rl1214285313/,5500000,Comedy Drama Romance,PG-13,tt0422093,5.8,13450
"Yours, Mine & Ours","$50,328,659","3,210","$53,412,862",Nov 23,"Paramount Pictures

",https://www.boxofficemojo.com/release/rl3933898241/,45000000,Comedy Family Fantasy Romance,PG,tt0443295,5.5,26407
Just Like Heaven,"$48,318,130","3,543","$48,318,130",Sep 16,"DreamWorks Distribution

",https://www.boxofficemojo.com/release/rl4217210369/,58000000,Comedy Drama Fantasy Romance,PG-13,tt0425123,6.7,98106
The Skeleton Key,"$47,907,715","2,784","$47,907,715",Aug 12,"Universal Pictures

",https://www.boxofficemojo.com/release/rl4218521089/,43000000,Drama Horror Mystery Thriller,PG-13,tt0397101,6.5,104919
Kingdom of Heaven,"$47,398,413","3,219","$47,398,413",May 6,"Twentieth Century Fox

",https://www.boxofficemojo.com/release/rl1448904193/,130000000,Action Adventure Drama History War,R,tt0320661,7.2,263338
Boogeyman,"$46,752,382","3,052","$46,752,382",Feb 4,"Screen Gems

",https://www.boxofficemojo.com/release/rl1078363649/,20000000,Drama Horror Mystery Thriller,PG-13,tt0357507,4.2,29431
The Legend of Zorro,"$45,383,726","3,520","$46,464,023",Oct 28,"Sony Pictures Entertainment (SPE)

",https://www.boxofficemojo.com/release/rl696092161/,75000000,Action Adventure Romance Thriller Western,PG,tt0386140,6.0,91754
Must Love Dogs,"$43,894,863","2,505","$43,894,863",Jul 29,"Warner Bros.

",https://www.boxofficemojo.com/release/rl627344897/,30000000,Comedy Romance,PG-13,tt0417001,5.9,30330
Transporter 2,"$43,095,856","3,320","$43,095,856",Sep 2,"Twentieth Century Fox

",https://www.boxofficemojo.com/release/rl2910291457/,32000000,Action Thriller,PG-13,tt0388482,6.3,189124
Fever Pitch,"$42,071,069","3,275","$42,071,069",Apr 8,"Twentieth Century Fox

",https://www.boxofficemojo.com/release/rl1632863745/,30000000,Comedy Drama Romance Sport,PG-13,tt0332047,6.2,41947
The Family Stone,"$41,405,336","2,469","$60,062,868",Dec 16,"Twentieth Century Fox

",https://www.boxofficemojo.com/release/rl4082140673/,18000000,Comedy Drama Romance,PG-13,tt0356680,6.3,59516
The Sisterhood of the Traveling Pants,"$39,053,061","2,583","$39,053,061",Jun 1,"Warner Bros.

",https://www.boxofficemojo.com/release/rl2322695681/,25000000,Comedy Drama Romance,PG,tt0403508,6.5,53353
The Phantom of the Opera,"$38,311,922","1,515","$51,268,815",Dec 22,"Warner Bros.

",https://www.boxofficemojo.com/release/rl1214809601/,70000000,Drama Musical Romance Thriller,PG-13,tt0293508,7.2,114913
The Brothers Grimm,"$37,917,584","3,098","$37,916,267",Aug 26,"Dimension Films

",https://www.boxofficemojo.com/release/rl1414104577/,88000000,Action Adventure Comedy Fantasy Horror Mystery Thriller,PG-13,tt0355295,5.9,114974
Syriana,"$36,147,858","1,775","$50,824,620",Nov 23,"Warner Bros.

",https://www.boxofficemojo.com/release/rl108365313/,50000000,Drama Thriller,R,tt0365737,6.9,124662
The Island,"$35,818,913","3,138","$35,818,913",Jul 22,"DreamWorks Distribution

",https://www.boxofficemojo.com/release/rl1314555393/,126000000,Action Sci-Fi Thriller,PG-13,tt0399201,6.8,297875
Derailed,"$35,667,597","2,447","$36,024,076",Nov 11,"The Weinstein Company

",https://www.boxofficemojo.com/release/rl273647105/,22000000,Crime Drama Thriller,R,tt0398017,6.6,70247
A Series of Unfortunate Events,"$33,877,477","3,623","$118,634,549",Dec 17,"Paramount Pictures

",https://www.boxofficemojo.com/release/rl358516225/,140000000,Adventure Comedy Family Fantasy,PG,tt0339291,6.8,193658
The Constant Gardener,"$33,578,235","1,387","$33,579,797",Aug 31,"Focus Features

",https://www.boxofficemojo.com/release/rl3544876545/,25000000,Drama Mystery Romance Thriller,R,tt0387131,7.4,130756
Bad News Bears,"$32,868,349","3,183","$32,868,349",Jul 22,"Paramount Pictures

",https://www.boxofficemojo.com/release/rl1279624705/,35000000,Comedy Sport,PG-13,tt0408524,5.8,20420
Because of Winn-Dixie,"$32,647,042","3,188","$32,647,042",Feb 18,"Twentieth Century Fox

",https://www.boxofficemojo.com/release/rl2541454849/,14000000,Comedy Drama Family,PG,tt0317132,6.3,10300
Dreamer: Inspired by a True Story,"$32,605,604","2,735","$32,751,093",Oct 21,"DreamWorks Distribution

",https://www.boxofficemojo.com/release/rl3142485505/,32000000,Drama Family Sport,PG,tt0418647,6.8,11969
Stealth,"$32,116,746","3,495","$32,116,746",Jul 29,"Sony Pictures Entertainment (SPE)

",https://www.boxofficemojo.com/release/rl4235429377/,135000000,Action Adventure Sci-Fi Thriller,PG-13,tt0382992,5.1,51445
House of Wax,"$32,064,800","3,111","$32,064,800",May 6,"Warner Bros.

",https://www.boxofficemojo.com/release/rl1515750913/,40000000,Horror Thriller,R,tt0397065,5.3,113940
The Wedding Date,"$31,726,995","1,704","$31,726,995",Feb 4,"Universal Pictures

",https://www.boxofficemojo.com/release/rl1299744257/,15000000,Comedy Romance,PG-13,tt0372532,6.2,47758
A History of Violence,"$31,176,424","1,348","$31,504,633",Sep 23,"New Line Cinema

",https://www.boxofficemojo.com/release/rl2556003841/,32000000,Drama Thriller,R,tt0399146,7.4,220987
Get Rich or Die Tryin',"$30,783,362","1,666","$30,985,352",Nov 9,"Paramount Pictures

",https://www.boxofficemojo.com/release/rl4149577217/,40000000,Biography Crime Drama Music,R,tt0430308,5.4,43593
The Fog,"$29,511,112","2,972","$29,550,869",Oct 14,"Revolution Studios

",https://www.boxofficemojo.com/release/rl223512065/,18000000,Horror Mystery,PG-13,tt0432291,3.7,34673
Rent,"$29,008,029","2,437","$29,077,547",Nov 23,"Revolution Studios

",https://www.boxofficemojo.com/release/rl2557314561/,40000000,Drama Musical Romance,PG-13,tt0294870,6.9,48281
Doom,"$28,212,337","3,044","$28,212,337",Oct 21,"Universal Pictures

",https://www.boxofficemojo.com/release/rl307136001/,60000000,Action Horror Sci-Fi,R,tt0419706,5.2,105356
Zathura: A Space Adventure,"$28,045,540","3,232","$29,258,869",Nov 11,"Sony Pictures Entertainment (SPE)

",https://www.boxofficemojo.com/release/rl3715794433/,65000000,Action Adventure Comedy Family Fantasy Sci-Fi,PG,tt0406375,6.2,91561
Finding Neverland,"$27,860,541","1,411","$51,680,613",Nov 12,"Miramax

",https://www.boxofficemojo.com/release/rl2740160001/,25000000,Biography Drama Family,PG,tt0308644,7.7,196678
Elizabethtown,"$26,850,433","2,517","$26,850,426",Oct 14,"Paramount Pictures

",https://www.boxofficemojo.com/release/rl1095861761/,45000000,Comedy Drama Romance,PG-13,tt0368709,6.4,66763
Serenity,"$25,514,517","2,189","$25,514,517",Sep 30,"Universal Pictures

",https://www.boxofficemojo.com/release/rl1567524353/,39000000,Action Adventure Sci-Fi Thriller,PG-13,tt0379786,7.8,280433
Memoirs of a Geisha,"$25,323,884","1,654","$57,490,508",Dec 9,"Sony Pictures Entertainment (SPE)

",https://www.boxofficemojo.com/release/rl509773313/,85000000,Drama Romance,PG-13,tt0397535,7.4,136764
Ocean's Twelve,"$25,127,623","3,290","$125,544,280",Dec 10,"Warner Bros.

",https://www.boxofficemojo.com/release/rl426149377/,110000000,Crime Thriller,PG-13,tt0240772,7.7,506141
Æon Flux,"$24,845,514","2,608","$25,874,337",Dec 2,"Paramount Pictures

",https://www.boxofficemojo.com/release/rl1212188161/,62000000,Action Adventure Sci-Fi Thriller,PG-13,tt0402022,5.5,123134
Unleashed,"$24,537,116","1,962","$24,537,621",May 13,"Rogue Pictures

",https://www.boxofficemojo.com/release/rl3715532289/,45000000,Action Adventure Crime Drama Thriller,R,tt0342258,7.0,97775
Elektra,"$24,409,722","3,204","$24,409,722",Jan 14,"Twentieth Century Fox

",https://www.boxofficemojo.com/release/rl1582401025/,43000000,Action Adventure Crime Fantasy,PG-13,tt0357277,4.7,86334
Lord of War,"$24,149,632","2,814","$24,149,632",Sep 16,"Lionsgate

",https://www.boxofficemojo.com/release/rl2908849665/,50000000,Action Crime Drama,R,tt0399295,7.6,290643
"Good Night, and Good Luck.","$23,443,621",929,"$31,558,003",Oct 7,"Warner Independent Pictures (WIP)

",https://www.boxofficemojo.com/release/rl3545531905/,7000000,Biography Drama History,PG,tt0433383,7.4,93277
Two for the Money,"$22,991,379","2,397","$22,991,379",Oct 7,"Universal Pictures

",https://www.boxofficemojo.com/release/rl1685489153/,35000000,Crime Drama Sport,R,tt0417217,6.3,42875
National Treasure,"$22,886,909","3,243","$173,008,894",Nov 19,"Walt Disney Studios Motion Pictures

",https://www.boxofficemojo.com/release/rl2321843713/,100000000,Action Adventure Mystery Thriller,PG,tt0368891,6.9,300124
Prime,"$22,827,153","1,837","$22,827,153",Oct 28,"Universal Pictures

",https://www.boxofficemojo.com/release/rl2255193601/,22000000,Comedy Drama Romance,PG-13,tt0387514,6.2,39374
Deuce Bigalow: European Gigolo,"$22,400,154","3,127","$22,400,154",Aug 12,"Sony Pictures Entertainment (SPE)

",https://www.boxofficemojo.com/release/rl1750042113/,22000000,Comedy,R,tt0367652,4.7,48008
Hustle & Flow,"$22,202,809","1,016","$22,202,809",Jul 22,"Paramount Classics

",https://www.boxofficemojo.com/release/rl3680011777/,2800000,Crime Drama Music,R,tt0410097,7.3,38262
A Lot Like Love,"$21,845,719","2,502","$21,845,719",Apr 22,"Walt Disney Studios Motion Pictures

",https://www.boxofficemojo.com/release/rl4183918081/,30000000,Comedy Drama Romance,PG-13,tt0391304,6.6,66749
Land of the Dead,"$20,700,082","2,253","$20,700,082",Jun 24,"Universal Pictures

",https://www.boxofficemojo.com/release/rl2103412225/,15000000,Horror Sci-Fi Thriller,R,tt0418819,6.2,90812
Assault on Precinct 13,"$20,043,091","2,297","$20,040,895",Jan 19,"Rogue Pictures

",https://www.boxofficemojo.com/release/rl4047668737/,30000000,Action Crime Drama Thriller,R,tt0398712,6.3,72778
Valiant,"$19,478,106","2,016","$19,478,106",Aug 19,"Walt Disney Studios Motion Pictures

",https://www.boxofficemojo.com/release/rl444171777/,35000000,Adventure Animation Comedy Family War,G,tt0361089,5.5,20703
Cursed,"$19,298,687","2,805","$19,297,522",Feb 25,"Dimension Films

",https://www.boxofficemojo.com/release/rl3897394689/,38000000,Comedy Horror,PG-13,tt0257516,5.0,30144
The Upside of Anger,"$18,763,647","1,166","$18,761,993",Mar 11,"New Line Cinema

",https://www.boxofficemojo.com/release/rl981042689/,12000000,Comedy Drama,R,tt0365885,6.8,21023
North Country,"$18,245,513","2,555","$18,337,722",Oct 21,"Warner Bros.

",https://www.boxofficemojo.com/release/rl1061848577/,35000000,Drama,R,tt0395972,7.3,39241
Pooh's Heffalump Movie,"$18,098,433","2,529","$18,098,433",Feb 11,"Walt Disney Studios Motion Pictures

",https://www.boxofficemojo.com/release/rl3478554113/,20000000,Animation Comedy Family Fantasy Musical Mystery,G,tt0407121,6.4,6339
Kung Fu Hustle,"$17,110,460","2,503","$17,108,591",Apr 8,"Sony Pictures Classics

",https://www.boxofficemojo.com/release/rl3495724545/,20000000,Action Comedy Fantasy,R,tt0373074,7.7,125245
The Devil's Rejects,"$17,044,981","1,757","$17,044,981",Jul 22,"Lionsgate

",https://www.boxofficemojo.com/release/rl1347388929/,7000000,Horror,R,tt0395584,6.8,91961
Son of the Mask,"$17,018,378","2,966","$17,018,422",Feb 18,"New Line Cinema

",https://www.boxofficemojo.com/release/rl2792392193/,84000000,Comedy Family Fantasy,PG,tt0362165,2.2,51830
Rebound,"$16,809,014","2,464","$16,809,014",Jul 1,"Twentieth Century Fox

",https://www.boxofficemojo.com/release/rl258835969/,33100000,Comedy Family Sport,PG,tt0376108,5.2,12274
The Perfect Man,"$16,535,005","2,090","$16,535,005",Jun 17,"Universal Pictures

",https://www.boxofficemojo.com/release/rl2104002049/,10000000,Comedy Family Romance,PG,tt0380623,5.5,27983
Spanglish,"$16,240,247","2,587","$42,726,869",Dec 17,"Sony Pictures Entertainment (SPE)

",https://www.boxofficemojo.com/release/rl3648030209/,80000000,Comedy Drama Romance,PG-13,tt0371246,6.4,77724
Waiting...,"$16,124,543","1,652","$16,124,543",Oct 7,"Lionsgate

",https://www.boxofficemojo.com/release/rl4286154241/,3000000,Comedy,R,tt0348333,6.8,88166
The Gospel,"$15,778,152",983,"$15,778,152",Oct 7,"Screen Gems

",https://www.boxofficemojo.com/release/rl1012368897/,4000000,Drama Music,PG,tt0451069,4.9,1984
The Honeymooners,"$12,843,849","1,912","$12,843,849",Jun 10,"Paramount Pictures

",https://www.boxofficemojo.com/release/rl995657217/,25000000,Comedy Family Romance,PG-13,tt0373908,3.3,6962
The Life Aquatic with Steve Zissou,"$12,659,078","1,105","$24,020,403",Dec 10,"Walt Disney Studios Motion Pictures

",https://www.boxofficemojo.com/release/rl3026093569/,50000000,Action Adventure Comedy Drama Romance,R,tt0362270,7.3,176450
The Incredibles,"$12,501,327","3,933","$261,441,092",Nov 5,"Walt Disney Studios Motion Pictures

",https://www.boxofficemojo.com/release/rl2807793153/,92000000,Action Adventure Animation Family,,tt0317705,8.0,645103
The Weather Man,"$12,482,775","1,510","$12,482,775",Oct 28,"Paramount Pictures

",https://www.boxofficemojo.com/release/rl1433961985/,22000000,Comedy Drama,R,tt0384680,6.5,76896
Brokeback Mountain,"$12,427,578","2,089","$83,043,761",Dec 9,"Focus Features

",https://www.boxofficemojo.com/release/rl1833534977/,14000000,Drama Romance,R,tt0388795,7.7,318112
Munich,"$12,275,660","1,498","$47,403,685",Dec 23,"Universal Pictures

",https://www.boxofficemojo.com/release/rl3362096641/,70000000,Action Drama History Thriller,R,tt0408306,7.5,209277
Capote,"$11,732,609","1,239","$28,750,530",Sep 30,"Sony Pictures Classics

",https://www.boxofficemojo.com/release/rl2118682113/,7000000,Biography Crime Drama History,R,tt0379725,7.3,123681
Lords of Dogtown,"$11,273,517","1,865","$11,273,517",Jun 3,"Sony Pictures Entertainment (SPE)

",https://www.boxofficemojo.com/release/rl2925626881/,25000000,Biography Drama Sport,PG-13,tt0355702,7.1,51548
The Polar Express,"$11,153,453","3,650","$162,775,358",Nov 10,"Warner Bros.

",https://www.boxofficemojo.com/release/rl292259329/,165000000,Adventure Animation Comedy Family Fantasy Musical,,tt0338348,6.6,168681
The Great Raid,"$10,167,373",920,"$10,167,373",Aug 12,"Miramax

",https://www.boxofficemojo.com/release/rl1649903105/,80000000,Action Drama War,R,tt0326905,6.7,21081
Cry Wolf,"$10,047,616","1,789","$10,047,674",Sep 16,"Rogue Pictures

",https://www.boxofficemojo.com/release/rl2152564225/,1000000,Drama Horror Mystery Thriller,PG-13,tt0384286,5.8,25806
The Polar Express2005 IMAX Release,"$9,643,722",66,"$10,900,597",Nov 23,"Warner Bros.

",https://www.boxofficemojo.com/release/rl309036545/,165000000,Adventure Animation Comedy Family Fantasy Musical,,tt0338348,6.6,168681
Darkness,"$9,292,014","1,718","$22,163,442",Dec 25,"Dimension Films

",https://www.boxofficemojo.com/release/rl5015041/,10600000,Horror,PG-13,tt0273517,5.5,18642
The Producers,"$9,263,542",978,"$19,398,532",Dec 16,"Universal Pictures

",https://www.boxofficemojo.com/release/rl3328935425/,45000000,Comedy Crime Musical,PG-13,tt0395251,6.3,40488
An Unfinished Life,"$8,584,261",888,"$8,586,392",Sep 9,"Miramax

",https://www.boxofficemojo.com/release/rl3933636097/,30000000,Drama Family Romance,PG-13,tt0350261,7.0,28629
Closer,"$8,229,888","1,098","$33,987,757",Dec 3,"Sony Pictures Entertainment (SPE)

",https://www.boxofficemojo.com/release/rl373982721/,27000000,Drama Romance,R,tt0376541,7.2,200369
Proof,"$7,535,331",517,"$7,535,331",Sep 16,"Miramax

",https://www.boxofficemojo.com/release/rl711624193/,20000000,Drama Mystery,PG-13,tt0377107,6.7,42720
Bride & Prejudice,"$6,605,592",288,"$6,605,592",Feb 11,"Miramax

",https://www.boxofficemojo.com/release/rl491357697/,7000000,Comedy Drama Musical Romance,PG-13,tt0361411,6.1,19736
Flight of the Phoenix,"$6,450,040","2,604","$21,009,180",Dec 17,"Twentieth Century Fox

",https://www.boxofficemojo.com/release/rl861046273/,45000000,Action Adventure Drama Romance Thriller,PG-13,tt0377062,6.1,51206
Blade: Trinity,"$5,579,963","2,912","$52,411,906",Dec 8,"New Line Cinema

",https://www.boxofficemojo.com/release/rl2168948225/,65000000,Action Adventure Fantasy Horror Sci-Fi,R,tt0359013,5.9,163989
Alone in the Dark,"$5,178,569","2,124","$5,178,569",Jan 28,"Lionsgate

",https://www.boxofficemojo.com/release/rl2034468353/,20000000,Action Horror Sci-Fi,R,tt0369226,2.4,41451
The Squid and the Whale,"$4,986,790",151,"$7,372,734",Oct 5,"IDP Distribution

",https://www.boxofficemojo.com/release/rl1836287489/,1500000,Comedy Drama,R,tt0367089,7.3,77103
A Very Long Engagement,"$4,396,424",219,"$6,524,389",Nov 26,"Warner Independent Pictures (WIP)

",https://www.boxofficemojo.com/release/rl1534690817/,56600000,Drama Mystery Romance War,R,tt0344510,7.6,70314
The SpongeBob SquarePants Movie,"$4,311,650","3,307","$85,417,988",Nov 19,"Paramount Pictures

",https://www.boxofficemojo.com/release/rl175343105/,30000000,Action Adventure Animation Comedy Family Fantasy,PG,tt0345950,7.1,77159
Kiss Kiss Bang Bang,"$4,205,036",226,"$4,243,756",Oct 21,"Warner Bros.

",https://www.boxofficemojo.com/release/rl2942076417/,15000000,Action Comedy Crime Mystery Thriller,R,tt0373469,7.5,212068
Ray,"$4,053,245","2,474","$75,331,600",Oct 29,"Universal Pictures

",https://www.boxofficemojo.com/release/rl695043585/,40000000,Biography Drama Music,PG-13,tt0350258,7.7,136479
Kinsey,"$3,928,716",588,"$10,254,979",Nov 12,"Fox Searchlight Pictures

",https://www.boxofficemojo.com/release/rl2841413121/,11000000,Biography Drama Romance,R,tt0362269,7.0,47126
The Merchant of Venice,"$3,719,849",107,"$3,765,585",Dec 29,"Sony Pictures Classics

",https://www.boxofficemojo.com/release/rl73565697/,30000000,Drama Romance,R,tt0379889,7.0,34632
Bad Education,"$3,675,806",106,"$5,211,842",Nov 19,"Sony Pictures Classics

",https://www.boxofficemojo.com/release/rl1581614593/,5000000,Crime Drama,NC-17,tt0275491,7.4,54903
The Work and the Glory,"$2,250,243",112,"$3,347,647",Nov 24,"Excel Entertainment

",https://www.boxofficemojo.com/release/rl209356289/,7500000,Drama Romance,PG,tt0410454,6.8,996
Oliver Twist,"$2,080,321",779,"$2,080,321",Sep 23,"Sony Pictures Entertainment (SPE)

",https://www.boxofficemojo.com/release/rl1734772225/,60000000,Crime Drama,PG-13,tt0380599,6.8,30691
The Work and the Glory II: American Zion,"$1,913,020",206,"$2,025,032",Oct 21,"Vineyard Distribution

",https://www.boxofficemojo.com/release/rl242910721/,6500000,Drama Western,PG-13,tt0457530,6.6,680
A Sound of Thunder,"$1,900,451",816,"$1,900,451",Sep 2,"Warner Bros.

",https://www.boxofficemojo.com/release/rl4252009985/,80000000,Action Adventure Horror Sci-Fi Thriller,PG-13,tt0318081,4.2,18715
Christmas with the Kranks,"$1,684,636","3,416","$73,780,539",Nov 24,"Revolution Studios

",https://www.boxofficemojo.com/release/rl2806744577/,60000000,Comedy Family,PG,tt0388419,5.4,41116
2046,"$1,444,588",61,"$1,444,588",Aug 5,"Sony Pictures Classics

",https://www.boxofficemojo.com/release/rl1682015745/,12000000,Drama Romance Sci-Fi,R,tt0212712,7.4,49982
Bee Season,"$1,148,085",277,"$1,180,560",Nov 11,"Fox Searchlight Pictures

",https://www.boxofficemojo.com/release/rl1799652865/,14000000,Drama Family,PG-13,tt0387059,5.5,6582
Undiscovered,"$1,069,318","1,304","$1,069,318",Aug 26,"Lionsgate

",https://www.boxofficemojo.com/release/rl3262744065/,9000000,Comedy Music Romance,PG-13,tt0434424,4.3,2734
Paradise Now,"$1,025,028",65,"$1,457,843",Oct 28,"Warner Independent Pictures (WIP)

",https://www.boxofficemojo.com/release/rl2523497985/,2000000,Crime Drama Thriller War,PG-13,tt0445620,7.4,22167
Shall We Dance,"$884,132","2,542","$57,890,460",Oct 15,"Miramax

",https://www.boxofficemojo.com/release/rl4167992833/,50000000,Comedy Drama Music Romance,PG-13,tt0358135,6.1,42992
Where the Truth Lies,"$872,142",95,"$872,142",Oct 7,"THINKFilm

",https://www.boxofficemojo.com/release/rl947619329/,25000000,Crime Drama Mystery Thriller,R,tt0373450,6.4,16915
Mirrormask,"$866,999",42,"$866,999",Sep 30,"IDP Distribution

",https://www.boxofficemojo.com/release/rl3932325377/,4000000,Adventure Fantasy,PG,tt0366780,6.8,22185
