Release,Calendar Gross,Max Theaters,Total Gross,Release Date,Distributor,URL,Budget,Genres,MPAA
Steal Big Steal Little,"$3,150,170","1,080","$3,150,170",Sep 29,-,https://www.boxofficemojo.com/release/rl2238940673/,35000000,Comedy,PG-13
The Perez Family,"$2,832,826",928,"$2,832,826",May 12,"The Samuel Goldwyn Company

",https://www.boxofficemojo.com/release/rl258508289/,11000000,Comedy Drama Romance,R
Heavenly Creatures,"$2,751,412",57,"$3,049,135",Nov 16,"Miramax

",https://www.boxofficemojo.com/release/rl3646326273/,5000000,Biography Crime Drama Thriller,R
Wild Bill,"$2,193,982",775,"$2,193,982",Dec 1,"Metro-Goldwyn-Mayer (MGM)

",https://www.boxofficemojo.com/release/rl1417381377/,30000000,Action Biography Western,R
Death and the Maiden,"$2,170,528",572,"$3,103,716",Dec 23,"Fine Line Features

",https://www.boxofficemojo.com/release/rl4216096257/,12000000,Drama Mystery Thriller,R
Shallow Grave,"$2,079,569",6,"$2,079,569",Feb 10,"Gramercy Pictures (I)

",https://www.boxofficemojo.com/release/rl2255390209/,2500000,Crime Thriller,R
The Thief and the Cobbler,"$669,276",510,"$669,276",Aug 25,"Miramax

",https://www.boxofficemojo.com/release/rl1463977473/,25000000,Action Adventure Animation Comedy Family Fantasy Musical,
An Awfully Big Adventure,"$259,724",12,"$259,724",Jul 21,"Fine Line Features

",https://www.boxofficemojo.com/release/rl658867713/,4000000,Comedy Drama Romance,R
Search and Destroy,"$255,762",22,"$389,503",Apr 28,"October Films

",https://www.boxofficemojo.com/release/rl1047430657/,4000000,Action Comedy Drama,R
Canadian Bacon,"$163,971",14,"$163,971",Sep 22,"Gramercy Pictures (I)

",https://www.boxofficemojo.com/release/rl390628865/,11000000,Comedy,PG
The City of Lost Children,"$72,350",36,"$1,738,611",Dec 15,"Sony Pictures Classics

",https://www.boxofficemojo.com/release/rl3578496513/,18000000,Fantasy Sci-Fi,R
Restoration,"$42,459",457,"$4,005,941",Dec 29,"Miramax

",https://www.boxofficemojo.com/release/rl4184704513/,19000000,Biography Drama History Romance,R
Independence Day,"$306,156,090","2,977","$306,169,268",Jul 3,"Twentieth Century Fox

",https://www.boxofficemojo.com/release/rl2656798209/,75000000,Action Adventure Sci-Fi,PG-13
Twister,"$241,721,524","2,808","$241,721,524",May 10,"Warner Bros.

",https://www.boxofficemojo.com/release/rl1886815745/,92000000,Action Adventure Thriller,
Mission: Impossible,"$180,981,856","3,012","$180,981,856",May 22,"Paramount Pictures

",https://www.boxofficemojo.com/release/rl3680667137/,80000000,Action Adventure Thriller,PG-13
The Rock,"$134,069,511","2,426","$134,069,511",Jun 7,"Walt Disney Studios Motion Pictures

",https://www.boxofficemojo.com/release/rl3211560449/,75000000,Action Adventure Thriller,R
The Nutty Professor,"$128,814,019","2,239","$128,814,019",Jun 28,"Universal Pictures

",https://www.boxofficemojo.com/release/rl996574721/,54000000,Comedy Romance Sci-Fi,PG-13
Eraser,"$99,013,389","2,556","$101,295,562",Jun 21,"Warner Bros.

",https://www.boxofficemojo.com/release/rl3578889729/,100000000,Action Drama Thriller,R
The Hunchback of Notre Dame,"$91,489,705","2,835","$100,138,851",Jun 21,"Walt Disney Studios Motion Pictures

",https://www.boxofficemojo.com/release/rl4250437121/,100000000,Animation Drama Family Musical Romance,
Jerry Maguire,"$65,675,817","2,531","$153,952,592",Dec 13,"Sony Pictures Entertainment (SPE)

",https://www.boxofficemojo.com/release/rl912098817/,50000000,Comedy Drama Romance Sport,R
The Cable Guy,"$60,240,295","2,657","$60,240,295",Jun 14,"Sony Pictures Entertainment (SPE)

",https://www.boxofficemojo.com/release/rl3276375553/,47000000,Comedy Drama Thriller,PG-13
Jack,"$58,620,973","2,232","$58,620,973",Aug 9,"Walt Disney Studios Motion Pictures

",https://www.boxofficemojo.com/release/rl2337965569/,45000000,Comedy Drama Fantasy,PG-13
Jingle All the Way,"$54,099,870","2,404","$60,592,389",Nov 22,"Twentieth Century Fox

",https://www.boxofficemojo.com/release/rl241010177/,60000000,Adventure Comedy Family,PG
Jumanji,"$50,903,131","2,530","$100,475,249",Dec 15,"Sony Pictures Entertainment (SPE)

",https://www.boxofficemojo.com/release/rl2774369793/,65000000,Adventure Comedy Family Fantasy,PG
Beavis and Butt-Head Do America,"$43,398,639","2,417","$63,118,386",Dec 20,"Paramount Pictures

",https://www.boxofficemojo.com/release/rl88376833/,12000000,Adventure Animation Comedy Crime Music,PG-13
Happy Gilmore,"$38,824,099","2,069","$38,824,099",Feb 16,"Universal Pictures

",https://www.boxofficemojo.com/release/rl206996993/,12000000,Comedy Sport,PG-13
Set It Off,"$36,461,139","1,016","$36,461,139",Nov 8,"New Line Cinema

",https://www.boxofficemojo.com/release/rl1248757249/,9000000,Action Crime Drama Romance Thriller,R
Matilda,"$33,459,416","2,006","$33,459,416",Aug 2,"Sony Pictures Entertainment (SPE)

",https://www.boxofficemojo.com/release/rl2237892097/,36000000,Comedy Family Fantasy,PG
The Long Kiss Goodnight,"$33,447,612","2,404","$33,447,612",Oct 11,"New Line Cinema

",https://www.boxofficemojo.com/release/rl2640086529/,65000000,Action Crime Drama Mystery Thriller,R
Rumble in the Bronx,"$32,392,047","1,794","$32,392,047",Feb 23,"New Line Cinema

",https://www.boxofficemojo.com/release/rl3446441473/,7500000,Action Comedy Crime Thriller,R
The Island of Dr. Moreau,"$27,663,982","2,039","$27,663,982",Aug 23,"New Line Cinema

",https://www.boxofficemojo.com/release/rl1079674369/,40000000,Horror Sci-Fi Thriller,PG-13
Sabrina,"$27,572,631","1,976","$53,672,080",Dec 15,"Paramount Pictures

",https://www.boxofficemojo.com/release/rl393184769/,58000000,Comedy Drama Romance,PG
Spy Hard,"$26,960,191","2,319","$26,960,191",May 24,"Walt Disney Studios Motion Pictures

",https://www.boxofficemojo.com/release/rl1886619137/,18000000,Action Comedy,PG-13
Harriet the Spy,"$26,570,048","1,876","$26,570,048",Jul 12,"Paramount Pictures

",https://www.boxofficemojo.com/release/rl3143009793/,12000000,Comedy Drama Family,PG
From Dusk Till Dawn,"$25,836,616","2,007","$25,836,616",Jan 19,"Miramax

",https://www.boxofficemojo.com/release/rl3712910849/,19000000,Action Crime Horror,R
Scream,"$24,242,612","1,994","$103,046,663",Dec 20,"Dimension Films

",https://www.boxofficemojo.com/release/rl3580855809/,14000000,Horror Mystery,R
Fargo,"$24,083,318",716,"$24,611,975",Mar 8,"Gramercy Pictures (I)

",https://www.boxofficemojo.com/release/rl3260057089/,7000000,Crime Drama Thriller,R
The English Patient,"$23,795,812","1,409","$78,676,425",Nov 15,"Miramax

",https://www.boxofficemojo.com/release/rl3964765697/,27000000,Drama Romance War,R
A Very Brady Sequel,"$21,440,752","2,147","$21,440,752",Aug 23,"Paramount Pictures

",https://www.boxofficemojo.com/release/rl3846604289/,12000000,Comedy,PG-13
Last Man Standing,"$18,115,927","2,579","$18,115,927",Sep 20,"New Line Cinema

",https://www.boxofficemojo.com/release/rl3059713537/,67000000,Action Crime Drama Thriller,R
Michael Collins,"$11,001,480",878,"$11,092,559",Oct 11,"Warner Bros.

",https://www.boxofficemojo.com/release/rl1145734657/,25000000,Biography Drama Thriller War,R
Se7en,"$10,645,756","2,528","$100,125,643",Sep 22,"New Line Cinema

",https://www.boxofficemojo.com/release/rl1080985089/,33000000,Crime Drama Mystery Thriller,R
Braveheart,"$8,584,004","2,037","$75,609,945",May 24,"Paramount Pictures

",https://www.boxofficemojo.com/release/rl3594946049/,72000000,Biography Drama History War,R
Nixon,"$7,478,809",977,"$13,681,765",Dec 22,"Walt Disney Studios Motion Pictures

",https://www.boxofficemojo.com/release/rl1416070657/,44000000,Biography Drama History,R
Swingers,"$4,448,950",160,"$4,555,020",Oct 18,"Miramax

",https://www.boxofficemojo.com/release/rl477464065/,200000,Comedy Drama,R
Cutthroat Island,"$4,087,966","1,619","$10,017,322",Dec 22,"Metro-Goldwyn-Mayer (MGM)

",https://www.boxofficemojo.com/release/rl4014835201/,98000000,Action Adventure Comedy,PG-13
Restoration,"$3,963,480",457,"$4,005,941",Dec 29,"Miramax

",https://www.boxofficemojo.com/release/rl4184704513/,19000000,Biography Drama History Romance,R
Surviving Picasso,"$2,021,348",49,"$2,021,348",Sep 20,"Warner Bros.

",https://www.boxofficemojo.com/release/rl3748824577/,16000000,Biography Drama Romance,R
The City of Lost Children,"$1,684,485",36,"$1,738,611",Dec 15,"Sony Pictures Classics

",https://www.boxofficemojo.com/release/rl3578496513/,18000000,Fantasy Sci-Fi,R
Bottle Rocket,"$560,069",49,"$560,069",Feb 21,"Sony Pictures Entertainment (SPE)

",https://www.boxofficemojo.com/release/rl2588313089/,7000000,Comedy Crime Drama,R
Evita,"$460,087","1,045","$50,047,179",Dec 25,"Walt Disney Studios Motion Pictures

",https://www.boxofficemojo.com/release/rl1917879809/,55000000,Biography Drama History Musical,PG
Secrets & Lies,"$332,118",296,"$13,417,292",Sep 28,"October Films

",https://www.boxofficemojo.com/release/rl175015425/,4500000,Comedy Drama,R
Freeway,"$295,493",9,"$295,493",Aug 23,"Roxie Releasing

",https://www.boxofficemojo.com/release/rl3679618561/,3000000,Comedy Crime Drama Thriller,R
Hamlet,"$56,637",93,"$4,708,156",Dec 27,"Sony Pictures Entertainment (SPE)

",https://www.boxofficemojo.com/release/rl894862849/,18000000,Drama,PG-13
Curdled,"$49,620",18,"$49,620",Sep 27,-,https://www.boxofficemojo.com/release/rl4048389633/,2300000,Comedy Crime Thriller,R
Sling Blade,"$36,644","1,020","$24,444,121",Nov 29,"Miramax

",https://www.boxofficemojo.com/release/rl3312551425/,1000000,Drama,R
Man with a Plan,"$33,402",2,"$33,402",May 31,-,https://www.boxofficemojo.com/release/rl308512257/,100000,Comedy,
The Whole Wide World,"$12,563",20,"$375,757",Dec 20,"Sony Pictures Classics

",https://www.boxofficemojo.com/release/rl2138801665/,1300000,Biography Drama Romance,PG
Men in Black,"$250,690,539","3,180","$250,690,539",Jul 2,"Sony Pictures Entertainment (SPE)

",https://www.boxofficemojo.com/release/rl1264748033/,90000000,Action Adventure Comedy Sci-Fi,PG-13
The Lost World: Jurassic Park,"$229,086,679","3,565","$229,086,679",May 23,"Universal Pictures

",https://www.boxofficemojo.com/release/rl2405271041/,73000000,Action Adventure Sci-Fi,PG-13
Air Force One,"$171,482,545","2,981","$172,956,409",Jul 25,"Sony Pictures Entertainment (SPE)

",https://www.boxofficemojo.com/release/rl2168489473/,85000000,Action Drama Thriller,R
Star Wars: Episode IV - A New Hope1997 Special Edition,"$137,690,767","2,375","$138,257,865",Jan 31,"Twentieth Century Fox

",https://www.boxofficemojo.com/release/rl3379725825/,11000000,Action Adventure Fantasy Sci-Fi,PG
My Best Friend's Wedding,"$127,120,029","2,376","$127,120,029",Jun 20,"Sony Pictures Entertainment (SPE)

",https://www.boxofficemojo.com/release/rl291800577/,38000000,Comedy Drama Romance,PG-13
Titanic,"$112,594,173","3,265","$600,788,188",Dec 19,"Paramount Pictures

",https://www.boxofficemojo.com/release/rl3698624001/,200000000,Drama Romance,PG-13
Face/Off,"$112,276,146","2,851","$112,276,146",Jun 27,"Paramount Pictures

",https://www.boxofficemojo.com/release/rl2723186177/,80000000,Action Crime Sci-Fi Thriller,R
Batman & Robin,"$107,325,195","2,942","$107,325,195",Jun 20,"Warner Bros.

",https://www.boxofficemojo.com/release/rl3561326081/,125000000,Action Sci-Fi,PG-13
George of the Jungle,"$105,263,257","2,616","$105,263,257",Jul 18,"Walt Disney Studios Motion Pictures

",https://www.boxofficemojo.com/release/rl2387969537/,55000000,Action Adventure Comedy Family Romance,PG
Con Air,"$101,117,573","2,941","$101,117,573",Jun 6,"Walt Disney Studios Motion Pictures

",https://www.boxofficemojo.com/release/rl2253030913/,75000000,Action Crime Thriller,R
Hercules,"$99,112,101","2,930","$99,112,101",Jun 15,"Walt Disney Studios Motion Pictures

",https://www.boxofficemojo.com/release/rl240748033/,85000000,Adventure Animation Comedy Family Fantasy Musical Romance,
Contact,"$99,040,239","2,314","$100,920,329",Jul 11,"Warner Bros.

",https://www.boxofficemojo.com/release/rl3578430977/,90000000,Drama Mystery Sci-Fi Thriller,PG
Jerry Maguire,"$88,276,775","2,531","$153,952,592",Dec 13,"Sony Pictures Entertainment (SPE)

",https://www.boxofficemojo.com/release/rl912098817/,50000000,Comedy Drama Romance Sport,R
Scream 2,"$75,894,584","2,688","$101,363,301",Dec 12,"Dimension Films

",https://www.boxofficemojo.com/release/rl3597633025/,24000000,Horror Mystery,R
Scream,"$74,888,488","1,994","$103,046,663",Dec 20,"Dimension Films

",https://www.boxofficemojo.com/release/rl3580855809/,14000000,Horror Mystery,R
Dante's Peak,"$67,127,760","2,761","$67,127,760",Feb 7,"Universal Pictures

",https://www.boxofficemojo.com/release/rl810321409/,116000000,Action Adventure Thriller,PG-13
Star Wars: Episode V - The Empire Strikes Back1997 Special Edition,"$66,633,883","2,322","$67,597,694",Feb 21,"Twentieth Century Fox

",https://www.boxofficemojo.com/release/rl3396503041/,18000000,Action Adventure Fantasy Sci-Fi,PG
In & Out,"$63,856,929","2,452","$63,856,929",Sep 19,"Paramount Pictures

",https://www.boxofficemojo.com/release/rl2992342529/,35000000,Comedy Romance,PG-13
Kiss the Girls,"$60,527,873","2,406","$60,527,873",Oct 3,"Paramount Pictures

",https://www.boxofficemojo.com/release/rl2807858689/,27000000,Crime Drama Mystery Thriller,R
The Jackal,"$54,930,280","2,309","$54,930,280",Nov 14,"Universal Pictures

",https://www.boxofficemojo.com/release/rl2354742785/,60000000,Action Crime Drama Thriller,R
The English Patient,"$54,880,610","1,409","$78,676,425",Nov 15,"Miramax

",https://www.boxofficemojo.com/release/rl3964765697/,27000000,Drama Romance War,R
Spawn,"$54,870,175","2,604","$54,870,175",Aug 1,"New Line Cinema

",https://www.boxofficemojo.com/release/rl3614475777/,40000000,Action Drama Horror,PG-13
Starship Troopers,"$54,814,377","2,971","$54,814,377",Nov 7,"Sony Pictures Entertainment (SPE)

",https://www.boxofficemojo.com/release/rl3144910337/,105000000,Action Adventure Sci-Fi Thriller,R
Austin Powers: International Man of Mystery,"$53,883,989","2,187","$53,883,989",May 2,"New Line Cinema

",https://www.boxofficemojo.com/release/rl960857601/,16500000,Adventure Comedy,PG-13
Breakdown,"$50,159,144","2,348","$50,159,144",May 2,"Paramount Pictures

",https://www.boxofficemojo.com/release/rl1934198273/,36000000,Crime Drama Mystery Thriller,R
Evita,"$49,587,092","1,045","$50,047,179",Dec 25,"Walt Disney Studios Motion Pictures

",https://www.boxofficemojo.com/release/rl1917879809/,55000000,Biography Drama History Musical,PG
Volcano,"$49,323,468","2,777","$49,323,468",Apr 25,"Twentieth Century Fox

",https://www.boxofficemojo.com/release/rl2440660481/,90000000,Action Drama Sci-Fi Thriller,PG-13
Speed 2: Cruise Control,"$48,608,066","2,625","$48,608,066",Jun 13,"Twentieth Century Fox

",https://www.boxofficemojo.com/release/rl3312485889/,160000000,Action Adventure Crime Romance Thriller,PG-13
Alien: Resurrection,"$47,795,658","2,449","$47,795,658",Nov 26,"Twentieth Century Fox

",https://www.boxofficemojo.com/release/rl3292562945/,75000000,Action Horror Sci-Fi,R
Bean,"$45,319,423","2,015","$45,319,423",Oct 17,"Gramercy Pictures (I)

",https://www.boxofficemojo.com/release/rl843351553/,18000000,Adventure Comedy Family,PG-13
Cop Land,"$44,862,187","2,233","$44,862,187",Aug 15,"Miramax

",https://www.boxofficemojo.com/release/rl709723649/,15000000,Crime Drama Thriller,R
Nothing to Lose,"$44,480,039","1,888","$44,480,039",Jul 18,"Walt Disney Studios Motion Pictures

",https://www.boxofficemojo.com/release/rl4100425217/,25000000,Action Adventure Comedy Crime,R
Star Wars: Episode VI - Return of the Jedi1997 Special Edition,"$44,125,486","2,111","$45,470,437",Mar 14,"Twentieth Century Fox

",https://www.boxofficemojo.com/release/rl3413280257/,32500000,Action Adventure Fantasy Sci-Fi,PG
Soul Food,"$43,700,855","1,350","$43,700,855",Sep 26,"Twentieth Century Fox

",https://www.boxofficemojo.com/release/rl2154857985/,7500000,Comedy Drama,R
The Devil's Own,"$42,868,348","2,504","$42,868,348",Mar 28,"Sony Pictures Entertainment (SPE)

",https://www.boxofficemojo.com/release/rl1615627777/,90000000,Action Crime Drama Thriller,R
Private Parts,"$41,230,799","2,217","$41,230,799",Mar 7,"Paramount Pictures

",https://www.boxofficemojo.com/release/rl3614148097/,28000000,Biography Comedy Drama,R
The Peacemaker,"$41,183,406","2,420","$41,263,140",Sep 26,"DreamWorks Distribution

",https://www.boxofficemojo.com/release/rl745047553/,50000000,Action Thriller,R
The Full Monty,"$34,453,706",783,"$45,950,122",Aug 15,"Fox Searchlight Pictures

",https://www.boxofficemojo.com/release/rl72713729/,3500000,Comedy Drama,R
Mousehunt,"$28,584,968","2,233","$61,917,389",Dec 19,"DreamWorks Distribution

",https://www.boxofficemojo.com/release/rl2707785217/,38000000,Comedy,PG
Boogie Nights,"$26,400,640","1,003","$26,400,640",Oct 10,"New Line Cinema

",https://www.boxofficemojo.com/release/rl1128695297/,15000000,Drama,R
Mimic,"$25,480,490","2,255","$25,480,490",Aug 22,"Miramax

",https://www.boxofficemojo.com/release/rl2153940481/,30000000,Horror Sci-Fi,R
Midnight in the Garden of Good and Evil,"$25,105,255","1,312","$25,105,255",Nov 21,"Warner Bros.

",https://www.boxofficemojo.com/release/rl3964962305/,35000000,Crime Drama Mystery Thriller,R
Sling Blade,"$24,407,477","1,020","$24,444,121",Nov 29,"Miramax

",https://www.boxofficemojo.com/release/rl3312551425/,1000000,Drama,R
As Good as It Gets,"$24,394,469","1,837","$148,478,011",Dec 23,"Sony Pictures Entertainment (SPE)

",https://www.boxofficemojo.com/release/rl2185397761/,50000000,Comedy Drama Romance,PG-13
Amistad,"$20,636,332","1,019","$44,229,441",Dec 10,"DreamWorks Distribution

",https://www.boxofficemojo.com/release/rl2168686081/,36000000,Biography Drama History,R
For Richer or Poorer,"$20,190,107","1,954","$31,642,995",Dec 12,"Universal Pictures

",https://www.boxofficemojo.com/release/rl980190721/,35000000,Comedy,PG-13
Beavis and Butt-Head Do America,"$19,719,744","2,417","$63,118,386",Dec 20,"Paramount Pictures

",https://www.boxofficemojo.com/release/rl88376833/,12000000,Adventure Animation Comedy Crime Music,PG-13
Home Alone 3,"$19,236,073","2,261","$30,882,515",Dec 12,"Twentieth Century Fox

",https://www.boxofficemojo.com/release/rl3646522881/,32000000,Action Comedy Crime Family,PG
Jackie Brown,"$17,571,207","1,642","$39,673,162",Dec 25,"Miramax

",https://www.boxofficemojo.com/release/rl4166682113/,12000000,Crime Drama Thriller,R
An American Werewolf in Paris,"$13,867,313","1,731","$26,570,463",Dec 25,"Walt Disney Studios Motion Pictures

",https://www.boxofficemojo.com/release/rl2591589889/,25000000,Comedy Fantasy Horror Thriller,R
The Man Who Knew Too Little,"$13,717,039","2,039","$13,717,039",Nov 14,"Warner Bros.

",https://www.boxofficemojo.com/release/rl258180609/,20000000,Comedy Crime Drama,PG
Secrets & Lies,"$13,040,360",296,"$13,417,292",Sep 28,"October Films

",https://www.boxofficemojo.com/release/rl175015425/,4500000,Comedy Drama,R
Turbulence,"$11,538,235","2,094","$11,538,235",Jan 10,"Metro-Goldwyn-Mayer (MGM)

",https://www.boxofficemojo.com/release/rl779519489/,55000000,Action Thriller,R
The Beautician and the Beast,"$11,486,880","1,801","$11,486,880",Feb 7,"Paramount Pictures

",https://www.boxofficemojo.com/release/rl323257857/,16000000,Comedy Romance,PG
Leave It to Beaver,"$10,925,060","1,885","$10,925,060",Aug 22,"Universal Pictures

",https://www.boxofficemojo.com/release/rl3445589505/,15000000,Comedy Family,PG
Mad City,"$10,541,523","2,194","$10,541,523",Nov 7,"Warner Bros.

",https://www.boxofficemojo.com/release/rl1264616961/,50000000,Crime Drama Thriller,PG-13
Mr. Magoo,"$10,045,114","1,857","$21,437,192",Dec 25,"Walt Disney Studios Motion Pictures

",https://www.boxofficemojo.com/release/rl2154137089/,30000000,Adventure Comedy Family,PG
The Postman,"$9,473,737","2,207","$17,626,234",Dec 25,"Warner Bros.

",https://www.boxofficemojo.com/release/rl1533773313/,80000000,Action Adventure Drama Sci-Fi,R
Jingle All the Way,"$6,492,513","2,404","$60,592,389",Nov 22,"Twentieth Century Fox

",https://www.boxofficemojo.com/release/rl241010177/,60000000,Adventure Comedy Family,PG
Hamlet,"$4,560,835",93,"$4,708,156",Dec 27,"Sony Pictures Entertainment (SPE)

",https://www.boxofficemojo.com/release/rl894862849/,18000000,Drama,PG-13
Kama Sutra: A Tale of Love,"$4,153,997",81,"$4,109,095",Feb 28,"Trimark Pictures

",https://www.boxofficemojo.com/release/rl3730671105/,3000000,Crime Drama History Romance,R
Waiting for Guffman,"$2,923,982",59,"$2,923,982",Jan 31,"Sony Pictures Classics

",https://www.boxofficemojo.com/release/rl4235822593/,4000000,Comedy,R
Deconstructing Harry,"$2,420,000",445,"$10,686,841",Dec 12,"Fine Line Features

",https://www.boxofficemojo.com/release/rl3746334209/,20000000,Comedy,R
Steel,"$1,710,972","1,260","$1,710,972",Aug 15,"Warner Bros.

",https://www.boxofficemojo.com/release/rl4285761025/,16000000,Action Adventure Crime Fantasy Sci-Fi,PG-13
The Godfather1997 Re-release,"$1,267,490",40,"$1,267,490",Mar 21,"Paramount Pictures

",https://www.boxofficemojo.com/release/rl1431602689/,6000000,Crime Drama,
The House of Yes,"$596,822",54,"$626,057",Oct 10,"Miramax

",https://www.boxofficemojo.com/release/rl1331201537/,1500000,Comedy Drama,R
Prefontaine,"$589,304",201,"$589,304",Jan 24,"Walt Disney Studios Motion Pictures

",https://www.boxofficemojo.com/release/rl2691401217/,8000000,Biography Drama Romance Sport,PG-13
Commandments,"$548,561",269,"$548,561",May 2,"Gramercy Pictures (I)

",https://www.boxofficemojo.com/release/rl2471134721/,6000000,Comedy Drama Romance,R
Dream with the Fishes,"$543,708",32,"$543,708",Jun 20,"Sony Pictures Classics

",https://www.boxofficemojo.com/release/rl3159262721/,1000000,Comedy Drama,R
Fargo,"$528,657",716,"$24,611,975",Mar 8,"Gramercy Pictures (I)

",https://www.boxofficemojo.com/release/rl3260057089/,7000000,Crime Drama Thriller,R
Dirty Dancing1997 Re-release,"$507,892",54,"$507,892",Aug 22,-,https://www.boxofficemojo.com/release/rl2488239617/,6000000,Drama Music Romance,
The Whole Wide World,"$363,194",20,"$375,757",Dec 20,"Sony Pictures Classics

",https://www.boxofficemojo.com/release/rl2138801665/,1300000,Biography Drama Romance,PG
Albino Alligator,"$339,379",12,"$339,379",Jan 17,"Miramax

",https://www.boxofficemojo.com/release/rl3762324993/,6000000,Crime Drama Thriller,R
Telling Lies in America,"$318,809",60,"$318,809",Oct 17,"Banner Entertainment

",https://www.boxofficemojo.com/release/rl3900016129/,4000000,Drama Music,PG-13
Critical Care,"$221,193",34,"$221,193",Oct 31,"Artisan Entertainment

",https://www.boxofficemojo.com/release/rl1145931265/,12000000,Comedy Drama,R
Kundun,"$150,201",439,"$5,684,789",Dec 25,"Walt Disney Studios Motion Pictures

",https://www.boxofficemojo.com/release/rl3747382785/,28000000,Biography Drama History War,PG-13
Twin Town,"$127,923",18,"$127,923",May 9,"Gramercy Pictures (I)

",https://www.boxofficemojo.com/release/rl2054587905/,3300000,Comedy Drama,
Welcome to Sarajevo,"$116,758",15,"$334,319",Nov 26,"Miramax

",https://www.boxofficemojo.com/release/rl2826470913/,9000000,Drama War,R
The Last Time I Committed Suicide,"$46,362",4,"$46,362",Jun 20,"Roxie Releasing

",https://www.boxofficemojo.com/release/rl2321516033/,4000000,Biography Romance,R
Independence Day,"$13,178","2,977","$306,169,268",Jul 3,"Twentieth Century Fox

",https://www.boxofficemojo.com/release/rl2656798209/,75000000,Action Adventure Sci-Fi,PG-13
Titanic,"$488,194,015","3,265","$600,788,188",Dec 19,"Paramount Pictures

",https://www.boxofficemojo.com/release/rl3698624001/,200000000,Drama Romance,PG-13
Armageddon,"$198,798,517","3,184","$201,578,182",Jul 1,"Walt Disney Studios Motion Pictures

",https://www.boxofficemojo.com/release/rl2973926913/,140000000,Action Adventure Sci-Fi Thriller,PG-13
Saving Private Ryan,"$190,805,259","2,807","$216,540,909",Jul 24,"DreamWorks Distribution

",https://www.boxofficemojo.com/release/rl3396044289/,70000000,Drama War,R
There's Something About Mary,"$174,422,745","2,555","$176,484,651",Jul 15,"Twentieth Century Fox

",https://www.boxofficemojo.com/release/rl172000769/,23000000,Comedy Romance,R
The Waterboy,"$147,895,431","2,782","$161,491,646",Nov 6,"Walt Disney Studios Motion Pictures

",https://www.boxofficemojo.com/release/rl2037941761/,23000000,Comedy Sport,PG-13
Godzilla,"$136,314,294","3,310","$136,314,294",May 20,"Sony Pictures Entertainment (SPE)

",https://www.boxofficemojo.com/release/rl2975106561/,130000000,Action Sci-Fi Thriller,PG-13
Rush Hour,"$136,065,335","2,724","$141,186,864",Sep 18,"New Line Cinema

",https://www.boxofficemojo.com/release/rl577734145/,33000000,Action Comedy Crime Thriller,PG-13
Lethal Weapon 4,"$130,444,603","3,117","$130,444,603",Jul 10,"Warner Bros.

",https://www.boxofficemojo.com/release/rl1633584641/,140000000,Action Crime Thriller,R
A Bug's Life,"$127,589,564","2,773","$162,798,565",Nov 20,"Walt Disney Studios Motion Pictures

",https://www.boxofficemojo.com/release/rl2420737537/,120000000,Adventure Animation Comedy Family,
As Good as It Gets,"$124,083,542","1,837","$148,478,011",Dec 23,"Sony Pictures Entertainment (SPE)

",https://www.boxofficemojo.com/release/rl2185397761/,50000000,Comedy Drama Romance,PG-13
The Mask of Zorro,"$93,715,262","2,515","$94,095,523",Jul 17,"Sony Pictures Entertainment (SPE)

",https://www.boxofficemojo.com/release/rl2573436417/,95000000,Action Adventure Comedy Romance Thriller Western,PG-13
Enemy of the State,"$92,027,903","2,517","$111,549,836",Nov 20,"Walt Disney Studios Motion Pictures

",https://www.boxofficemojo.com/release/rl3914434049/,90000000,Action Thriller,R
Antz,"$88,668,349","2,929","$90,757,863",Oct 2,"DreamWorks Distribution

",https://www.boxofficemojo.com/release/rl2051180033/,105000000,Adventure Animation Comedy Family,PG
The Rugrats Movie,"$86,430,992","2,832","$100,494,675",Nov 20,"Paramount Pictures

",https://www.boxofficemojo.com/release/rl3597436417/,24000000,Adventure Animation Comedy Drama Family Musical,
The Wedding Singer,"$80,245,725","2,837","$80,245,725",Feb 13,"New Line Cinema

",https://www.boxofficemojo.com/release/rl1148749313/,18000000,Comedy Music Romance,PG-13
Lost in Space,"$69,117,629","3,306","$69,117,629",Apr 3,"New Line Cinema

",https://www.boxofficemojo.com/release/rl2220983809/,80000000,Action Adventure Family Sci-Fi Thriller,PG-13
You've Got Mail,"$63,762,374","2,948","$115,821,495",Dec 18,"Warner Bros.

",https://www.boxofficemojo.com/release/rl894928385/,65000000,Comedy Drama Romance,PG
Ever After: A Cinderella Story,"$61,413,264","2,067","$65,705,771",Jul 31,"Twentieth Century Fox

",https://www.boxofficemojo.com/release/rl475039233/,26000000,Comedy Drama Romance,PG-13
Snake Eyes,"$55,591,409","2,718","$55,591,409",Aug 7,"Paramount Pictures

",https://www.boxofficemojo.com/release/rl342918657/,73000000,Crime Mystery Thriller,R
What Dreams May Come,"$55,382,927","2,531","$55,382,927",Oct 2,"PolyGram

",https://www.boxofficemojo.com/release/rl4168648193/,85000000,Drama Fantasy Romance,PG-13
The Prince of Egypt,"$55,106,631","3,218","$101,413,188",Dec 18,"DreamWorks Distribution

",https://www.boxofficemojo.com/release/rl4067132929/,70000000,Adventure Animation Drama Family Fantasy Musical,PG
Halloween H20: 20 Years Later,"$55,041,738","2,669","$55,041,738",Aug 7,"Dimension Films

",https://www.boxofficemojo.com/release/rl1029080577/,17000000,Horror Thriller,R
